TransactionID,TransactionStartDateTime,TransactionEndDateTime,CardholderID,LocationID,TransactionTypeID,TransactionAmount
LA-2022-1000000001,1/1/2022 0:03,1/1/2022 0:06,LA-002-1141,LA-002,3,0
LA-2022-1000000002,1/1/2022 0:15,1/1/2022 0:17,LA-004-1171,LA-004,1,30000
LA-2022-1000000003,1/1/2022 2:54,1/1/2022 2:59,LA-009-1280,LA-009,1,50000
LA-2022-1000000004,1/1/2022 6:10,1/1/2022 6:12,LA-009-1150,LA-009,1,50000
LA-2022-1000000005,1/1/2022 6:25,1/1/2022 6:29,LA-008-1013,LA-008,1,30000
LA-2022-1000000006,1/1/2022 6:32,1/1/2022 6:35,LA-011-1296,LA-011,1,20000
LA-2022-1000000007,1/1/2022 6:35,1/1/2022 6:37,LA-006-1129,LA-006,1,20000
LA-2022-1000000008,1/1/2022 6:47,1/1/2022 6:52,LA-006-1280,LA-006,1,50000
LA-2022-1000000009,1/1/2022 6:48,1/1/2022 6:50,LA-008-1075,LA-008,4,20000
LA-2022-1000000010,1/1/2022 7:00,1/1/2022 7:02,LA-010-1180,LA-010,1,20000
LA-2022-1000000011,1/1/2022 7:00,1/1/2022 7:06,LA-007-1009,LA-007,1,10000
LA-2022-1000000012,1/1/2022 7:00,1/1/2022 7:05,LA-005-1169,LA-005,4,20000
LA-2022-1000000013,1/1/2022 7:02,1/1/2022 7:06,LA-010-1136,LA-010,4,20000
LA-2022-1000000014,1/1/2022 7:03,1/1/2022 7:07,LA-015-1160,LA-015,3,0
LA-2022-1000000015,1/1/2022 7:03,1/1/2022 7:05,LA-009-1111,LA-009,1,10000
LA-2022-1000000016,1/1/2022 7:03,1/1/2022 7:07,LA-007-1202,LA-007,1,3000
LA-2022-1000000017,1/1/2022 7:03,1/1/2022 7:08,LA-003-1118,LA-003,4,50000
LA-2022-1000000018,1/1/2022 7:03,1/1/2022 7:06,LA-002-1162,LA-002,3,0
LA-2022-1000000019,1/1/2022 7:04,1/1/2022 7:07,LA-005-1167,LA-005,1,20000
LA-2022-1000000020,1/1/2022 7:05,1/1/2022 7:08,LA-014-1011,LA-014,3,0
LA-2022-1000000021,1/1/2022 7:05,1/1/2022 7:12,LA-013-1103,LA-013,1,100000
LA-2022-1000000022,1/1/2022 7:05,1/1/2022 7:08,LA-002-1258,LA-002,1,10000
LA-2022-1000000023,1/1/2022 7:06,1/1/2022 7:12,LA-009-1118,LA-009,1,10000
LA-2022-1000000024,1/1/2022 7:06,1/1/2022 7:11,LA-004-1196,LA-004,1,10000
LA-2022-1000000025,1/1/2022 7:07,1/1/2022 7:13,LA-006-1193,LA-006,1,10000
LA-2022-1000000026,1/1/2022 7:08,1/1/2022 7:12,LA-007-1082,LA-007,4,1000
LA-2022-1000000027,1/1/2022 7:08,1/1/2022 7:15,LA-003-1205,LA-003,1,7000
LA-2022-1000000028,1/1/2022 7:09,1/1/2022 7:11,LA-010-1078,LA-010,1,4000
LA-2022-1000000029,1/1/2022 7:10,1/1/2022 7:14,LA-013-1038,LA-013,3,0
LA-2022-1000000030,1/1/2022 7:11,1/1/2022 7:13,LA-007-1200,LA-007,4,1000
LA-2022-1000000031,1/1/2022 7:12,1/1/2022 7:15,LA-004-1318,LA-004,2,5000
LA-2022-1000000032,1/1/2022 7:14,1/1/2022 7:18,LA-006-1181,LA-006,1,3000
LA-2022-1000000033,1/1/2022 7:14,1/1/2022 7:19,LA-003-1167,LA-003,1,30000
LA-2022-1000000034,1/1/2022 7:16,1/1/2022 7:21,LA-015-1189,LA-015,1,10000
LA-2022-1000000035,1/1/2022 7:16,1/1/2022 7:21,LA-011-1208,LA-011,4,3000
LA-2022-1000000036,1/1/2022 7:18,1/1/2022 7:25,LA-013-1079,LA-013,2,6000
LA-2022-1000000037,1/1/2022 7:18,1/1/2022 7:22,LA-013-1015,LA-013,3,0
LA-2022-1000000038,1/1/2022 7:18,1/1/2022 7:21,LA-003-1145,LA-003,3,0
LA-2022-1000000039,1/1/2022 7:20,1/1/2022 7:26,LA-015-1167,LA-015,2,20000
LA-2022-1000000040,1/1/2022 7:20,1/1/2022 7:22,LA-015-1035,LA-015,4,4000
LA-2022-1000000041,1/1/2022 7:20,1/1/2022 7:22,LA-011-1127,LA-011,1,10000
LA-2022-1000000042,1/1/2022 7:21,1/1/2022 7:24,LA-011-1236,LA-011,4,100000
LA-2022-1000000043,1/1/2022 7:21,1/1/2022 7:26,LA-010-1261,LA-010,1,10000
LA-2022-1000000044,1/1/2022 7:22,1/1/2022 7:29,LA-008-1191,LA-008,2,10000
LA-2022-1000000045,1/1/2022 7:22,1/1/2022 7:25,LA-006-1100,LA-006,1,30000
LA-2022-1000000046,1/1/2022 7:22,1/1/2022 7:26,LA-005-1197,LA-005,1,9000
LA-2022-1000000047,1/1/2022 7:22,1/1/2022 7:24,LA-001-1159,LA-001,1,30000
LA-2022-1000000048,1/1/2022 7:23,1/1/2022 7:26,LA-004-1050,LA-004,4,20000
LA-2022-1000000049,1/1/2022 7:24,1/1/2022 7:30,LA-011-1200,LA-011,1,7000
LA-2022-1000000050,1/1/2022 7:24,1/1/2022 7:26,LA-010-1189,LA-010,1,10000
LA-2022-1000000051,1/1/2022 7:24,1/1/2022 7:26,LA-006-1130,LA-006,1,20000
LA-2022-1000000052,1/1/2022 7:26,1/1/2022 7:29,LA-013-1115,LA-013,1,50000
LA-2022-1000000053,1/1/2022 7:26,1/1/2022 7:33,LA-007-1078,LA-007,1,100000
LA-2022-1000000054,1/1/2022 7:26,1/1/2022 7:31,LA-006-1172,LA-006,4,100000
LA-2022-1000000055,1/1/2022 7:26,1/1/2022 7:29,LA-004-1156,LA-004,4,20000
LA-2022-1000000056,1/1/2022 7:28,1/1/2022 7:30,LA-006-1039,LA-006,1,20000
LA-2022-1000000057,1/1/2022 7:29,1/1/2022 7:31,LA-013-1271,LA-013,1,6000
LA-2022-1000000058,1/1/2022 7:30,1/1/2022 7:32,LA-011-1287,LA-011,1,10000
LA-2022-1000000059,1/1/2022 7:30,1/1/2022 7:33,LA-001-1160,LA-001,3,0
LA-2022-1000000060,1/1/2022 7:31,1/1/2022 7:37,LA-013-1210,LA-013,1,20000
LA-2022-1000000061,1/1/2022 7:32,1/1/2022 7:37,LA-013-1067,LA-013,1,1000
LA-2022-1000000062,1/1/2022 7:33,1/1/2022 7:35,LA-013-1133,LA-013,4,8000
LA-2022-1000000063,1/1/2022 7:33,1/1/2022 7:37,LA-009-1162,LA-009,4,9000
LA-2022-1000000064,1/1/2022 7:34,1/1/2022 7:36,LA-008-1184,LA-008,1,100000
LA-2022-1000000065,1/1/2022 7:35,1/1/2022 7:39,LA-005-1145,LA-005,4,4000
LA-2022-1000000066,1/1/2022 7:35,1/1/2022 7:39,LA-003-1147,LA-003,3,0
LA-2022-1000000067,1/1/2022 7:36,1/1/2022 7:41,LA-005-1273,LA-005,2,8000
LA-2022-1000000068,1/1/2022 7:36,1/1/2022 7:43,LA-003-1044,LA-003,1,30000
LA-2022-1000000069,1/1/2022 7:36,1/1/2022 7:42,LA-002-1024,LA-002,1,6000
LA-2022-1000000070,1/1/2022 7:37,1/1/2022 7:40,LA-011-1162,LA-011,4,20000
LA-2022-1000000071,1/1/2022 7:37,1/1/2022 7:39,LA-011-1046,LA-011,3,0
LA-2022-1000000072,1/1/2022 7:37,1/1/2022 7:43,LA-010-1012,LA-010,1,10000
LA-2022-1000000073,1/1/2022 7:38,1/1/2022 7:41,LA-005-1146,LA-005,2,10000
LA-2022-1000000074,1/1/2022 7:38,1/1/2022 7:40,LA-002-1150,LA-002,4,50000
LA-2022-1000000075,1/1/2022 7:39,1/1/2022 7:46,LA-003-1289,LA-003,1,50000
LA-2022-1000000076,1/1/2022 7:39,1/1/2022 7:41,LA-003-1245,LA-003,4,20000
LA-2022-1000000077,1/1/2022 7:39,1/1/2022 7:42,LA-002-1025,LA-002,1,7000
LA-2022-1000000078,1/1/2022 7:40,1/1/2022 7:43,LA-015-1211,LA-015,4,8000
LA-2022-1000000079,1/1/2022 7:40,1/1/2022 7:45,LA-006-1109,LA-006,2,10000
LA-2022-1000000080,1/1/2022 7:40,1/1/2022 7:44,LA-002-1161,LA-002,3,0
LA-2022-1000000081,1/1/2022 7:41,1/1/2022 7:44,LA-015-1241,LA-015,1,3000
LA-2022-1000000082,1/1/2022 7:42,1/1/2022 7:45,LA-015-1183,LA-015,1,10000
LA-2022-1000000083,1/1/2022 7:42,1/1/2022 7:48,LA-003-1242,LA-003,1,1000
LA-2022-1000000084,1/1/2022 7:43,1/1/2022 7:46,LA-011-1151,LA-011,3,0
